Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,1,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,1,0,0
2020-03-21,2,0,0
2020-03-22,3,0,0
2020-03-23,0,1,0
2020-03-24,2,0,0
2020-03-25,0,0,0
2020-03-26,1,0,0
2020-03-27,5,0,0
2020-03-28,3,0,0
2020-03-29,3,0,0
2020-03-30,1,1,0
2020-03-31,15,1,3
2020-04-01,0,0,0
2020-04-02,16,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,27,0,7
2020-04-06,0,0,0
2020-04-07,11,0,3
2020-04-08,8,2,0
2020-04-09,4,0,3
2020-04-10,13,0,0
2020-04-11,10,0,0
2020-04-12,8,2,3
2020-04-13,18,0,10
2020-04-14,38,0,7
2020-04-15,23,0,1
2020-04-16,18,3,5
2020-04-17,24,0,9
2020-04-18,32,2,4
2020-04-19,23,0,7
2020-04-20,29,0,4
2020-04-21,53,3,7
2020-04-22,31,0,0
2020-04-23,33,0,6
2020-04-24,58,3,24
2020-04-25,57,0,0
2020-04-26,40,2,2
2020-04-27,38,0,0
2020-04-28,48,2,4
2020-04-29,28,0,10
2020-04-30,33,11,5
2020-05-01,37,8,15
2020-05-02,127,7,12
2020-05-03,276,74,-19
2020-05-04,61,11,86
2020-05-05,85,7,46
2020-05-06,112,4,1
2020-05-07,92,7,31
2020-05-08,130,9,27
2020-05-09,108,11,49
2020-05-10,153,14,45
2020-05-11,124,5,82
2020-05-12,110,8,113
2020-05-13,117,9,90
2020-05-14,87,8,66
2020-05-15,84,10,61
2020-05-16,115,7,63
2020-05-17,101,6,67
2020-05-18,147,6,47
2020-05-19,137,6,68
2020-05-20,142,3,62
2020-05-21,94,6,57
2020-05-22,135,6,28
2020-05-23,127,4,60
2020-05-24,208,3,58
2020-05-25,149,6,75
2020-05-26,193,5,72
2020-05-27,183,6,92
2020-05-28,344,6,90
2020-05-29,277,7,107
2020-05-30,317,7,195
2020-05-31,371,8,187
2020-06-01,271,8,149
2020-06-02,396,10,104
2020-06-03,340,10,170
2020-06-04,368,10,188
2020-06-05,427,11,144
2020-06-06,435,17,207
2020-06-07,449,13,184
2020-06-08,426,9,162
2020-06-09,372,10,155
2020-06-10,343,17,159
2020-06-11,440,10,209
2020-06-12,476,9,218
2020-06-13,454,12,336
2020-06-14,389,12,518
2020-06-15,407,10,434
2020-06-16,415,10,534
2020-06-17,391,11,505
2020-06-18,435,12,468
2020-06-19,355,11,302
2020-06-20,441,11,562
2020-06-21,414,15,432
2020-06-22,413,14,390
2020-06-23,370,11,531
2020-06-24,445,11,484
2020-06-25,475,15,488
2020-06-26,542,10,345
2020-06-27,521,13,254
2020-06-28,572,10,404
2020-06-29,624,14,526
2020-06-30,652,15,411
2020-07-01,611,15,398
2020-07-02,649,16,509
2020-07-03,669,18,534
2020-07-04,743,19,595
2020-07-05,895,21,545
2020-07-06,861,22,524
2020-07-07,850,25,555
2020-07-08,986,23,501
2020-07-09,1088,27,535
2020-07-10,1198,26,522
2020-07-11,1344,26,611
2020-07-12,1560,26,622
2020-07-13,1435,24,632
2020-07-14,1390,24,718
2020-07-15,1589,20,749
2020-07-16,1690,23,735
2020-07-17,1894,26,838
2020-07-18,2198,27,1286
2020-07-19,2278,36,1344
2020-07-20,2282,35,1535
2020-07-21,2261,35,1617
2020-07-22,2291,39,1615
2020-07-23,2436,34,2006
2020-07-24,2216,35,1873
2020-07-25,2404,42,2125
2020-07-26,2341,40,2097
2020-07-27,2112,39,2166
2020-07-28,2134,38,2105
2020-07-29,2294,41,2094
2020-07-30,2434,46,2140
2020-07-31,2496,45,2118
2020-08-01,2589,48,2143
2020-08-02,2739,49,2213
2020-08-03,2716,53,2088
2020-08-04,2752,54,2066
2020-08-05,2816,61,2078
2020-08-06,2954,56,2061
2020-08-07,2912,52,2037
2020-08-08,2949,51,2064
2020-08-09,2939,54,1996
2020-08-10,2905,41,3208
2020-08-11,2931,49,3067
2020-08-12,2936,54,2725
2020-08-13,2997,56,2497
2020-08-14,3035,60,2572
2020-08-15,3074,58,2647
2020-08-16,3066,51,2935
2020-08-17,3080,45,2932
2020-08-18,3175,55,2987
2020-08-19,3169,53,2973
2020-08-20,3197,53,3126
2020-08-21,3245,55,3082
2020-08-22,3232,48,3088
2020-08-23,3274,57,3048
2020-08-24,2967,57,3285
2020-08-25,2964,58,3251
2020-08-26,2974,55,3314
2020-08-27,2997,53,3189
2020-08-28,2982,56,3286
2020-08-29,3012,53,3312
2020-08-30,3019,50,3308
2020-08-31,2993,52,3318
2020-09-01,2943,55,3346
2020-09-02,2976,56,3297
2020-09-03,2984,55,3335
2020-09-04,2978,58,3305
2020-09-05,3042,58,3248
2020-09-06,3087,52,3207
2020-09-07,3077,58,3021
2020-09-08,3091,57,2996
2020-09-09,3107,53,2967
2020-09-10,3112,41,3035
2020-09-11,3157,57,3016
2020-09-12,3161,59,3042
2020-09-13,3215,58,3054
2020-09-14,3211,58,3084
2020-09-15,3227,59,2919
2020-09-16,3237,61,2971
2020-09-17,3197,60,2948
2020-09-18,3192,59,2960
2020-09-19,3188,56,2993
2020-09-20,3177,61,2958
2020-09-21,3165,62,3011
2020-09-22,3182,62,3047
2020-09-23,3189,61,2998
2020-09-24,3196,62,3014
2020-09-25,3190,59,2978
2020-09-26,3181,56,2955
2020-09-27,3185,60,2946
2020-09-28,3155,56,2923
2020-09-29,3188,62,2961
2020-09-30,3281,59,2954
2020-10-01,3275,59,2996
2020-10-02,3310,53,2944
2020-10-03,3340,62,3013
2020-10-04,3357,62,2986
2020-10-05,3348,61,3009
2020-10-06,3370,63,3036
2020-10-07,3455,58,3024
2020-10-08,3526,63,2970
2020-10-09,3573,62,3069
2020-10-10,3591,62,3032
2020-10-11,3612,59,3110
2020-10-12,3583,60,3155
2020-10-13,3631,62,3185
2020-10-14,3677,64,3096
2020-10-15,3720,62,3179
2020-10-16,3771,61,3194
2020-10-17,3865,61,3183
2020-10-18,3983,64,3113
2020-10-19,3992,63,3272
2020-10-20,4029,61,3382
2020-10-21,4069,64,3596
2020-10-22,4157,64,3608
2020-10-23,4143,60,3676
2020-10-24,4148,59,3753
2020-10-25,4127,60,3857
2020-10-26,4121,59,3889
2020-10-27,3957,58,3917
2020-10-28,3924,60,3925
2020-10-29,3989,61,3945
2020-10-30,3979,59,4015
2020-10-31,3993,57,4049
2020-11-01,3987,59,4053
2020-11-02,3957,57,4085
2020-11-03,3981,56,4058
2020-11-04,3987,55,4129
2020-11-05,3948,54,4187
2020-11-06,3942,55,4283
2020-11-07,3928,58,4339
2020-11-08,3920,59,4383
2020-11-09,3907,56,4396
2020-11-10,3891,53,4415
2020-11-11,3872,49,4431
2020-11-12,3856,54,4453
2020-11-13,3835,51,4468
2020-11-14,3823,53,4479
2020-11-15,3053,51,4480
2020-11-16,3012,53,4376
2020-11-17,3654,52,4388
2020-11-18,3668,54,4429
2020-11-19,3620,53,3990
2020-11-20,3626,50,3850
2020-11-21,3639,53,3794
2020-11-22,3591,49,3726
2020-11-23,3557,47,3687
2020-11-24,3545,49,3646
2020-11-25,3528,51,3605
2020-11-26,3507,52,3537
2020-11-27,3489,46,3496
2020-11-28,3459,52,3487
2020-11-29,3367,54,3445
2020-11-30,2671,48,2730
2020-12-01,3315,52,3340
2020-12-02,3271,51,3275
2020-12-03,3246,49,3257
2020-12-04,3206,52,3215
2020-12-05,3175,49,3207
2020-12-06,3143,46,3167
2020-12-07,2214,48,2231
2020-12-08,2941,49,2971
2020-12-09,2956,47,3009
2020-12-10,2801,49,2951
2020-12-11,2753,50,2873
2020-12-12,2710,44,2913
2020-12-13,2580,47,2994
2020-12-14,1834,43,2980
2020-12-15,2289,45,2965
2020-12-16,2293,46,2767
2020-12-17,2245,44,2747
2020-12-18,2239,42,2729
2020-12-19,2155,43,2717
2020-12-20,1978,40,2627
2020-12-21,1515,41,2342
2020-12-22,1653,38,2270
2020-12-23,1628,34,2153
2020-12-24,1590,32,2054
2020-12-25,1541,31,1954
2020-12-26,1253,33,1861
2020-12-27,1435,29,1740
2020-12-28,1028,27,1614
2020-12-29,1244,30,1587
2020-12-30,1178,28,1557
2020-12-31,1170,29,1537
2021-01-01,1153,26,1496
2021-01-02,863,28,1443
2021-01-03,896,26,1432
2021-01-04,597,25,1347
