Date,Confirmed,Deceased,Recovered
2020-03-14,19,0,3
2020-03-15,5,0,0
2020-03-16,3,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,1,0,0
2020-03-20,12,0,0
2020-03-21,12,0,0
2020-03-22,15,0,0
2020-03-23,28,0,0
2020-03-24,14,0,1
2020-03-25,9,0,0
2020-03-26,19,0,7
2020-03-27,39,0,0
2020-03-28,6,1,1
2020-03-29,20,0,4
2020-03-30,32,0,4
2020-03-31,7,1,4
2020-04-01,24,0,2
2020-04-02,21,0,2
2020-04-03,9,0,14
2020-04-04,11,0,8
2020-04-05,8,0,6
2020-04-06,13,0,3
2020-04-07,9,0,12
2020-04-08,9,0,13
2020-04-09,12,0,13
2020-04-10,7,0,27
2020-04-11,10,1,19
2020-04-12,2,0,36
2020-04-13,3,0,19
2020-04-14,8,0,13
2020-04-15,1,0,7
2020-04-16,7,0,27
2020-04-17,1,0,10
2020-04-18,4,0,2
2020-04-19,2,0,13
2020-04-20,6,0,21
2020-04-21,19,0,16
2020-04-22,11,0,1
2020-04-23,10,0,8
2020-04-24,3,1,15
2020-04-25,7,0,7
2020-04-26,11,0,4
2020-04-27,13,0,13
2020-04-28,4,0,4
2020-04-29,10,0,10
2020-04-30,2,0,14
2020-05-01,0,0,9
2020-05-02,2,0,8
2020-05-03,0,0,1
2020-05-04,0,0,61
2020-05-05,3,0,0
2020-05-06,0,0,7
2020-05-07,0,0,5
2020-05-08,1,0,10
2020-05-09,2,0,1
2020-05-10,7,0,4
2020-05-11,7,0,0
2020-05-12,5,0,0
2020-05-13,10,0,1
2020-05-14,26,0,3
2020-05-15,16,0,0
2020-05-16,11,0,4
2020-05-17,14,0,0
2020-05-18,29,0,0
2020-05-19,12,0,0
2020-05-20,24,0,5
2020-05-21,24,0,8
2020-05-22,42,1,2
2020-05-23,62,0,3
2020-05-24,53,1,5
2020-05-25,49,0,12
2020-05-26,67,1,10
2020-05-27,40,0,10
2020-05-28,85,1,3
2020-05-29,62,1,10
2020-05-30,58,1,10
2020-05-31,61,0,15
2020-06-01,57,1,18
2020-06-02,86,1,19
2020-06-03,82,0,24
2020-06-04,94,3,39
2020-06-05,111,0,22
2020-06-06,108,1,50
2020-06-07,107,0,41
2020-06-08,91,1,11
2020-06-09,91,0,34
2020-06-10,65,1,57
2020-06-11,83,1,62
2020-06-12,78,1,32
2020-06-13,85,0,46
2020-06-14,54,0,56
2020-06-15,82,1,73
2020-06-16,79,0,60
2020-06-17,75,0,90
2020-06-18,97,1,89
2020-06-19,118,0,96
2020-06-20,127,0,57
2020-06-21,133,0,93
2020-06-22,138,0,88
2020-06-23,141,1,60
2020-06-24,152,0,81
2020-06-25,123,0,53
2020-06-26,150,0,65
2020-06-27,195,0,102
2020-06-28,118,0,42
2020-06-29,122,1,79
2020-06-30,131,1,75
2020-07-01,151,1,132
2020-07-02,160,0,202
2020-07-03,211,0,201
2020-07-04,240,0,209
2020-07-05,225,0,126
2020-07-06,193,2,167
2020-07-07,272,0,111
2020-07-08,301,0,107
2020-07-09,339,0,149
2020-07-10,416,0,112
2020-07-11,488,2,143
2020-07-12,435,2,132
2020-07-13,449,2,162
2020-07-14,608,1,181
2020-07-15,623,1,196
2020-07-16,722,2,228
2020-07-17,791,1,132
2020-07-18,593,2,204
2020-07-19,821,2,172
2020-07-20,794,1,245
2020-07-21,720,1,274
2020-07-22,1038,1,272
2020-07-23,1078,5,432
2020-07-24,885,4,968
2020-07-25,1103,5,1049
2020-07-26,927,2,689
2020-07-27,702,2,745
2020-07-28,1167,4,679
2020-07-29,903,1,641
2020-07-30,506,2,794
2020-07-31,1310,3,864
2020-08-01,1129,8,752
2020-08-02,1169,1,688
2020-08-03,961,2,815
2020-08-04,1083,3,1021
2020-08-05,1195,7,1234
2020-08-06,1298,3,800
2020-08-07,1251,5,814
2020-08-08,1420,4,1715
2020-08-09,1211,2,970
