Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,1,0,0
2020-03-17,0,0,0
2020-03-18,1,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,1,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,1,0,0
2020-04-01,1,0,1
2020-04-02,0,0,0
2020-04-03,15,0,1
2020-04-04,1,0,0
2020-04-05,18,0,0
2020-04-06,1,0,0
2020-04-07,2,1,0
2020-04-08,0,0,0
2020-04-09,6,0,0
2020-04-10,2,0,10
2020-04-11,4,0,0
2020-04-12,0,0,0
2020-04-13,1,0,6
2020-04-14,5,0,0
2020-04-15,0,0,1
2020-04-16,0,0,0
2020-04-17,0,0,2
2020-04-18,1,0,3
2020-04-19,0,0,0
2020-04-20,13,0,0
2020-04-21,5,0,6
2020-04-22,4,0,2
2020-04-23,6,0,1
2020-04-24,5,0,0
2020-04-25,6,0,1
2020-04-26,3,0,1
2020-04-27,15,0,2
2020-04-28,0,0,1
2020-04-29,7,0,1
2020-04-30,18,0,2
2020-05-01,11,0,14
2020-05-02,6,0,1
2020-05-03,2,0,4
2020-05-04,7,0,0
2020-05-05,8,1,0
2020-05-06,28,0,1
2020-05-07,14,0,1
2020-05-08,51,0,1
2020-05-09,82,1,5
2020-05-10,25,0,0
2020-05-11,38,0,17
2020-05-12,22,0,31
2020-05-13,101,0,27
2020-05-14,134,0,15
2020-05-15,65,0,8
2020-05-16,0,0,30
2020-05-17,91,1,24
2020-05-18,48,0,57
2020-05-19,102,1,30
2020-05-20,74,1,36
2020-05-21,51,1,50
2020-05-22,86,0,43
2020-05-23,80,0,61
2020-05-24,67,0,53
2020-05-25,102,0,99
2020-05-26,79,0,84
2020-05-27,76,0,79
2020-05-28,67,0,75
2020-05-29,63,2,90
2020-05-30,96,0,73
2020-05-31,129,0,76
2020-06-01,156,0,119
2020-06-02,141,0,80
2020-06-03,143,0,91
2020-06-04,90,0,65
2020-06-05,130,1,123
2020-06-06,173,0,112
2020-06-07,75,1,178
2020-06-08,138,0,99
2020-06-09,146,0,140
2020-06-10,110,0,149
2020-06-11,136,1,72
2020-06-12,112,1,120
2020-06-13,225,0,120
2020-06-14,186,1,114
2020-06-15,146,0,146
2020-06-16,108,0,120
2020-06-17,175,0,73
2020-06-18,174,0,97
2020-06-19,165,0,153
2020-06-20,179,1,237
2020-06-21,304,4,186
2020-06-22,143,2,143
2020-06-23,167,3,125
2020-06-24,282,0,135
2020-06-25,210,0,168
2020-06-26,218,0,131
2020-06-27,170,1,184
2020-06-28,264,3,137
2020-06-29,245,2,203
2020-06-30,206,2,243
2020-07-01,251,1,164
2020-07-02,229,2,149
2020-07-03,561,2,203
2020-07-04,495,6,229
2020-07-05,469,3,290
2020-07-06,456,2,262
2020-07-07,571,6,217
2020-07-08,527,7,303
2020-07-09,577,6,401
2020-07-10,755,6,565
2020-07-11,570,6,388
2020-07-12,595,5,390
2020-07-13,616,7,505
2020-07-14,543,5,609
2020-07-15,618,5,612
2020-07-16,494,2,401
2020-07-17,718,6,453
2020-07-18,591,3,607
2020-07-19,736,7,516
2020-07-20,673,6,457
2020-07-21,647,8,400
2020-07-22,1078,6,440
2020-07-23,1264,6,643
2020-07-24,1594,8,808
2020-07-25,1320,10,728
2020-07-26,1376,11,864
2020-07-27,1503,7,581
2020-07-28,1215,8,687
2020-07-29,1068,6,878
2020-07-30,1203,10,807
2020-07-31,1499,9,772
2020-08-01,1602,11,756
2020-08-02,1434,11,681
2020-08-03,1384,12,1119
2020-08-04,1384,10,1409
2020-08-05,1337,11,1255
2020-08-06,1699,11,1150
2020-08-07,1833,12,1810
2020-08-08,1643,15,1544
2020-08-09,1734,14,1543
2020-08-10,1528,16,1236
2020-08-11,1341,12,1785
2020-08-12,1876,9,1673
2020-08-13,1981,9,1422
2020-08-14,1977,10,1305
2020-08-15,2496,9,1521
2020-08-16,2924,10,1550
2020-08-17,2244,10,1503
2020-08-18,2239,9,1535
2020-08-19,2589,10,1621
2020-08-20,2898,8,1641
2020-08-21,2698,10,1927
2020-08-22,2819,9,1773
2020-08-23,2993,10,2129
2020-08-24,2949,10,2519
2020-08-25,2752,9,2545
2020-08-26,3371,13,3343
2020-08-27,3384,7,2510
2020-08-28,3682,8,2503
2020-08-29,3252,14,2888
2020-08-30,3014,12,2519
2020-08-31,2602,10,4053
2020-09-01,3025,11,3484
2020-09-02,3219,11,3303
2020-09-03,3631,8,3278
2020-09-04,3267,9,2980
2020-09-05,3543,7,3443
2020-09-06,3810,8,2590
2020-09-07,3861,10,3034
2020-09-08,3490,13,2787
2020-09-09,3748,11,3110
2020-09-10,3991,11,2706
2020-09-11,3996,14,4061
2020-09-12,3777,11,3217
2020-09-13,3913,10,3363
2020-09-14,4198,11,3382
2020-09-15,3645,8,3714
2020-09-16,4270,11,4121
2020-09-17,4241,13,3607
2020-09-18,4180,13,4101
2020-09-19,4209,9,4090
2020-09-20,4330,10,4018
2020-09-21,4242,9,3704
2020-09-22,4189,11,3834
2020-09-23,4237,15,4052
2020-09-24,4340,16,3779
2020-09-25,4208,15,4388
2020-09-26,4356,16,4761
2020-09-27,3922,14,3378
2020-09-28,3235,16,4014
2020-09-29,3067,15,3896
2020-09-30,3443,14,4219
2020-10-01,3615,17,4380
2020-10-02,3600,16,4048
2020-10-03,3053,17,4066
2020-10-04,3326,15,4108
2020-10-05,2617,17,4098
2020-10-06,2673,16,3817
2020-10-07,2995,18,3455
2020-10-08,3144,16,3312
2020-10-09,2697,17,3404
2020-10-10,2854,15,3885
2020-10-11,2546,16,3342
2020-10-12,2423,18,2577
2020-10-13,2275,17,2796
2020-10-14,2604,15,2775
2020-10-15,2470,17,2772
2020-10-16,2138,15,2850
2020-10-17,2196,17,2842
2020-10-18,2019,14,2610
2020-10-19,1982,17,2738
2020-10-20,1904,16,2622
2020-10-21,1931,13,2716
2020-10-22,1913,15,2128
2020-10-23,1793,18,2377
2020-10-24,1695,15,2613
2020-10-25,1633,16,2071
2020-10-26,1480,14,2003
2020-10-27,1247,13,2010
2020-10-28,1540,12,2015
2020-10-29,1617,13,1908
2020-10-30,1547,11,1800
2020-10-31,1470,12,1911
2020-11-01,1709,11,1815
2020-11-02,1389,9,1527
2020-11-03,1201,12,1462
2020-11-04,1474,12,1520
2020-11-05,1385,14,1460
2020-11-06,1494,15,1641
2020-11-07,1372,17,1683
2020-11-08,1434,15,1311
2020-11-09,1219,16,1521
2020-11-10,987,13,1448
2020-11-11,1220,15,1340
2020-11-12,986,14,1264
2020-11-13,1018,12,1504
2020-11-14,902,15,1271
2020-11-15,753,17,1346
2020-11-16,749,16,1297
2020-11-17,644,17,1315
2020-11-18,868,15,1303
2020-11-19,868,17,1019
2020-11-20,757,16,1101
2020-11-21,778,17,1011
2020-11-22,638,15,905
2020-11-23,668,17,913
2020-11-24,642,14,648
2020-11-25,730,16,728
2020-11-26,644,17,737
2020-11-27,594,14,908
2020-11-28,550,12,802
2020-11-29,518,4,707
2020-11-30,418,5,809
2020-12-01,378,5,669
2020-12-02,480,6,660
2020-12-03,434,5,629
2020-12-04,377,5,642
2020-12-05,409,5,605
2020-12-06,393,6,570
2020-12-07,368,7,607
2020-12-08,349,6,523
2020-12-09,386,5,442
2020-12-10,343,5,458
2020-12-11,387,4,408
2020-12-12,335,4,405
2020-12-13,393,5,386
2020-12-14,332,4,389
2020-12-15,300,4,392
2020-12-16,407,5,358
2020-12-17,351,5,376
2020-12-18,358,4,363
2020-12-19,356,3,362
2020-12-20,372,4,338
2020-12-21,363,3,309
2020-12-22,319,4,388
2020-12-23,364,3,304
2020-12-24,263,4,324
2020-12-25,325,3,406
2020-12-26,334,4,371
2020-12-27,303,4,319
2020-12-28,234,3,324
2020-12-29,263,4,383
2020-12-30,305,3,328
2020-12-31,315,2,329
2021-01-01,245,3,301
2021-01-02,251,4,232
2021-01-03,192,3,244
2021-01-04,183,2,298
2021-01-05,198,2,271
2021-01-06,231,0,230
2021-01-07,230,1,282
2021-01-08,245,2,244
2021-01-09,206,1,269
2021-01-10,260,0,240
2021-01-11,244,1,228
2021-01-12,225,2,181
2021-01-13,210,1,170
2021-01-14,222,1,210
