Date,Confirmed,Deceased,Recovered
2020-03-14,1,0,0
2020-03-15,0,0,0
2020-03-16,0,0,1
2020-03-17,0,0,0
2020-03-18,1,0,0
2020-03-19,1,0,0
2020-03-20,0,0,0
2020-03-21,3,0,0
2020-03-22,3,0,0
2020-03-23,3,0,0
2020-03-24,6,1,0
2020-03-25,8,0,0
2020-03-26,3,0,0
2020-03-27,9,0,1
2020-03-28,4,0,0
2020-03-29,8,0,0
2020-03-30,17,0,2
2020-03-31,57,0,2
2020-04-01,110,0,0
2020-04-02,75,0,0
2020-04-03,102,0,0
2020-04-04,74,2,2
2020-04-05,86,2,0
2020-04-06,50,1,5
2020-04-07,69,1,6
2020-04-08,48,1,2
2020-04-09,96,0,6
2020-04-10,77,1,17
2020-04-11,58,1,0
2020-04-12,106,1,6
2020-04-13,98,0,8
2020-04-14,31,1,23
2020-04-15,38,2,37
2020-04-16,25,1,62
2020-04-17,56,0,103
2020-04-18,49,0,82
2020-04-19,105,0,46
2020-04-20,43,2,46
2020-04-21,76,1,178
2020-04-22,33,0,27
2020-04-23,54,2,90
2020-04-24,72,2,114
2020-04-25,66,1,94
2020-04-26,64,1,60
2020-04-27,52,0,54
2020-04-28,121,1,54
2020-04-29,104,2,82
2020-04-30,161,0,48
2020-05-01,203,1,54
2020-05-02,231,1,29
2020-05-03,266,1,38
2020-05-04,527,1,30
2020-05-05,508,2,76
2020-05-06,771,2,31
2020-05-07,580,2,31
2020-05-08,600,3,58
2020-05-09,526,4,219
2020-05-10,669,3,135
2020-05-11,798,6,92
2020-05-12,716,8,83
2020-05-13,509,3,41
2020-05-14,447,2,65
2020-05-15,434,5,359
2020-05-16,477,4,939
2020-05-17,639,4,634
2020-05-18,536,3,234
2020-05-19,688,3,489
2020-05-20,743,3,987
2020-05-21,776,7,400
2020-05-22,786,4,846
2020-05-23,759,5,363
2020-05-24,765,8,833
2020-05-25,805,7,407
2020-05-26,646,11,611
2020-05-27,817,6,567
2020-05-28,827,12,639
2020-05-29,874,9,765
2020-05-30,938,6,687
2020-05-31,1149,13,757
2020-06-01,1162,11,413
2020-06-02,1091,13,536
2020-06-03,1286,8,610
2020-06-04,1384,15,585
2020-06-05,1438,12,861
2020-06-06,1458,19,633
2020-06-07,1515,18,604
2020-06-08,1562,17,528
2020-06-09,1685,18,798
2020-06-10,1927,19,1008
2020-06-11,1875,23,1372
