Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,1,0,0
2020-04-01,0,0,0
2020-04-02,1,0,0
2020-04-03,0,0,0
2020-04-04,0,0,0
2020-04-05,1,0,0
2020-04-06,1,0,0
2020-04-07,0,0,0
2020-04-08,0,0,0
2020-04-09,9,1,0
2020-04-10,1,0,0
2020-04-11,3,0,0
2020-04-12,2,1,0
2020-04-13,5,0,0
2020-04-14,3,0,0
2020-04-15,1,0,0
2020-04-16,1,0,0
2020-04-17,3,0,0
2020-04-18,1,0,0
2020-04-19,8,0,0
2020-04-20,5,0,4
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,7,1,4
2020-04-24,6,0,0
2020-04-25,8,0,0
2020-04-26,15,0,5
2020-04-27,21,0,4
2020-04-28,2,0,2
2020-04-29,2,0,0
2020-04-30,3,0,0
2020-05-01,3,0,2
2020-05-02,2,0,1
2020-05-03,0,0,5
2020-05-04,0,0,0
2020-05-05,10,0,6
2020-05-06,2,0,4
2020-05-07,5,0,4
2020-05-08,22,0,0
2020-05-09,2,0,37
2020-05-10,1,0,0
2020-05-11,4,0,0
2020-05-12,11,0,1
2020-05-13,5,0,8
2020-05-14,26,0,0
2020-05-15,8,0,10
2020-05-16,6,0,16
2020-05-17,6,0,0
2020-05-18,5,0,14
2020-05-19,20,0,0
2020-05-20,42,0,2
2020-05-21,13,0,7
2020-05-22,20,0,0
2020-05-23,27,0,5
2020-05-24,20,1,7
2020-05-25,35,0,0
2020-05-26,21,0,5
2020-05-27,7,0,0
2020-05-28,6,0,0
2020-05-29,82,1,63
2020-05-30,73,0,40
2020-05-31,41,0,0
2020-06-01,26,0,40
2020-06-02,61,0,0
2020-06-03,42,0,1
2020-06-04,63,1,69
2020-06-05,95,1,69
2020-06-06,106,0,38
2020-06-07,75,0,17
2020-06-08,187,0,29
2020-06-09,126,1,40
2020-06-10,135,0,33
2020-06-11,48,0,38
2020-06-12,57,0,55
2020-06-13,55,0,131
2020-06-14,52,0,89
2020-06-15,30,1,95
2020-06-16,46,0,121
2020-06-17,57,1,30
2020-06-18,23,1,47
2020-06-19,42,0,137
2020-06-20,63,0,69
2020-06-21,74,0,2
2020-06-22,42,0,63
2020-06-23,53,0,51
2020-06-24,26,1,55
2020-06-25,44,0,30
2020-06-26,31,0,42
2020-06-27,45,0,77
2020-06-28,25,0,69
2020-06-29,62,3,56
2020-06-30,64,0,35
2020-07-01,35,0,47
2020-07-02,60,0,57
2020-07-03,112,0,13
2020-07-04,42,3,34
2020-07-05,68,1,10
2020-07-06,47,1,23
2020-07-07,164,2,36
2020-07-08,116,0,66
2020-07-09,134,1,40
2020-07-10,250,0,14
2020-07-11,145,1,32
2020-07-12,97,7,52
2020-07-13,203,2,43
2020-07-14,262,3,77
2020-07-15,337,2,57
2020-07-16,221,4,28
2020-07-17,313,4,64
2020-07-18,289,2,79
2020-07-19,167,1,62
2020-07-20,225,4,117
2020-07-21,418,8,107
2020-07-22,487,3,106
2020-07-23,482,3,206
2020-07-24,400,9,100
2020-07-25,277,7,167
2020-07-26,508,0,183
2020-07-27,454,7,101
2020-07-28,760,4,179
2020-07-29,331,5,77
2020-07-30,505,4,115
2020-07-31,915,3,167
2020-08-01,790,8,170
2020-08-02,455,4,169
2020-08-03,941,7,112
2020-08-04,570,4,405
2020-08-05,978,7,627
2020-08-06,708,9,768
2020-08-07,726,6,897
2020-08-08,986,9,834
2020-08-09,688,17,673
2020-08-10,630,12,750
2020-08-11,683,5,807
2020-08-12,788,8,1642
2020-08-13,693,7,816
2020-08-14,1175,15,665
2020-08-15,547,5,503
2020-08-16,552,15,566
2020-08-17,843,11,601
2020-08-18,1241,10,361
2020-08-19,967,13,857
2020-08-20,638,8,754
2020-08-21,1258,11,1052
2020-08-22,907,13,814
2020-08-23,1075,8,950
2020-08-24,940,17,889
2020-08-25,1056,12,725
2020-08-26,1137,15,736
2020-08-27,1365,15,633
2020-08-28,1137,12,1019
2020-08-29,1299,9,1078
2020-08-30,1323,12,1232
2020-08-31,3221,7,695
2020-09-01,2177,11,1006
2020-09-02,1029,10,1598
2020-09-03,1618,6,1139
2020-09-04,1559,3,1157
2020-09-05,1758,15,2287
2020-09-06,1266,7,1854
2020-09-07,1557,13,1366
2020-09-08,2676,14,1812
2020-09-09,1601,16,1297
2020-09-10,1182,5,1456
2020-09-11,961,15,1213
2020-09-12,1420,10,1746
2020-09-13,1014,13,1509
2020-09-14,1263,6,1529
2020-09-15,1702,10,1638
2020-09-16,1635,8,1607
2020-09-17,1026,11,1450
2020-09-18,1478,12,1245
2020-09-19,1282,13,1645
2020-09-20,1492,2,1247
2020-09-21,1321,9,1599
2020-09-22,1275,15,1484
2020-09-23,1141,7,1532
2020-09-24,1349,4,1386
2020-09-25,1271,9,1570
2020-09-26,1226,9,1324
2020-09-27,974,9,958
2020-09-28,1508,9,1806
2020-09-29,1123,12,1295
2020-09-30,1111,13,1444
2020-10-01,1013,8,1119
2020-10-02,736,8,967
2020-10-03,877,5,1176
2020-10-04,933,9,907
2020-10-05,816,4,1332
2020-10-06,847,10,1246
2020-10-07,829,10,1087
2020-10-08,784,8,1263
2020-10-09,768,6,1215
2020-10-10,697,3,1151
2020-10-11,574,3,766
2020-10-12,510,11,890
2020-10-13,701,7,853
2020-10-14,633,6,1053
2020-10-15,583,8,873
2020-10-16,473,5,818
2020-10-17,542,8,501
2020-10-18,385,7,452
2020-10-19,490,3,769
2020-10-20,572,7,605
2020-10-21,647,2,619
2020-10-22,549,8,625
2020-10-23,435,3,499
2020-10-24,383,2,470
2020-10-25,258,2,378
2020-10-26,220,6,392
2020-10-27,318,4,506
2020-10-28,345,4,452
2020-10-29,395,3,461
2020-10-30,323,0,421
2020-10-31,474,1,367
2020-11-01,326,1,398
2020-11-02,403,1,512
2020-11-03,397,5,490
2020-11-04,301,3,505
2020-11-05,355,0,484
2020-11-06,356,1,401
2020-11-07,340,2,411
2020-11-08,203,0,298
2020-11-09,246,8,458
2020-11-10,252,5,456
2020-11-11,284,3,314
2020-11-12,269,4,606
2020-11-13,288,4,661
2020-11-14,154,1,328
2020-11-15,129,2,291
2020-11-16,166,4,360
2020-11-17,261,3,343
2020-11-18,251,3,280
2020-11-19,230,3,264
2020-11-20,185,2,189
2020-11-21,175,6,333
2020-11-22,137,5,273
2020-11-23,219,3,303
2020-11-24,233,2,191
2020-11-25,237,3,316
2020-11-26,230,3,218
2020-11-27,189,1,195
2020-11-28,209,1,216
2020-11-29,198,0,214
2020-11-30,167,1,288
2020-12-01,181,5,227
2020-12-02,206,2,262
2020-12-03,233,6,208
2020-12-04,219,1,206
2020-12-05,196,1,288
2020-12-06,92,7,134
2020-12-07,179,2,214
2020-12-08,182,0,188
2020-12-09,191,3,202
2020-12-10,173,2,220
2020-12-11,174,2,168
2020-12-12,189,0,273
2020-12-13,144,4,179
2020-12-14,212,1,201
2020-12-15,209,1,211
2020-12-16,190,3,180
2020-12-17,211,3,164
2020-12-18,274,1,195
2020-12-19,247,2,234
2020-12-20,172,0,182
2020-12-21,173,1,205
2020-12-22,209,3,246
2020-12-23,202,0,204
2020-12-24,177,2,213
2020-12-25,168,0,176
2020-12-26,189,2,179
2020-12-27,125,1,134
2020-12-28,152,1,154
2020-12-29,230,5,203
2020-12-30,223,2,185
2020-12-31,240,3,218
2021-01-01,128,0,105
2021-01-02,151,4,205
2021-01-03,137,1,159
2021-01-04,160,1,232
2021-01-05,151,2,255
2021-01-06,194,2,165
2021-01-07,195,1,195
2021-01-08,207,2,188
2021-01-09,236,2,205
2021-01-10,145,2,169
2021-01-11,144,1,229
2021-01-12,127,0,153
2021-01-13,152,0,152
2021-01-14,144,0,173
2021-01-15,96,1,133
2021-01-16,119,1,158
2021-01-17,87,0,111
2021-01-18,100,4,131
2021-01-19,101,3,141
2021-01-20,125,0,170
2021-01-21,67,1,136
2021-01-22,75,2,127
2021-01-23,78,1,177
2021-01-24,54,2,109
2021-01-25,74,1,122
